season,HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts,HomeLeaguePosition,AwayLeaguePosition,LeaguePositionDiff,MatchDayDay,MatchDayMonth,MatchDayDate,match_prediction,Home Prediction,Away Prediction,Result Prediction
1995-96,Newcastle,Middlesbrough,0,8.0,3.0,1.0,2.0,2.25,1.0,W,L,W,W,W,D,M,M,M,M,4.0,9,4,1.75,0.25,1.25,1.25,2,10,-8,Wednesday,August,30,0,1,0,H
1995-96,Southampton,Leeds,1,4.0,5.0,7.0,1.0,0.25,2.25,D,W,L,W,L,W,M,M,M,M,4.0,1,9,-0.75,1.0,-2.0,-2.0,16,1,15,Wednesday,August,30,1,1,0,H
1995-96,West Ham,Tottenham,1,3.0,2.0,5.0,5.0,0.25,0.25,D,L,L,L,L,D,M,M,M,M,4.0,1,1,-0.5,-0.75,0.0,0.0,19,17,2,Wednesday,August,30,1,0,1,A
1995-96,Wimbledon,Sheffield Weds,1,7.0,2.0,5.0,4.0,1.5,0.75,L,L,W,W,W,L,M,M,M,M,4.0,6,3,0.5,-0.5,0.75,0.75,5,13,-8,Wednesday,August,30,0,2,2,D
1995-96,Blackburn,Aston Villa,1,3.0,4.0,4.0,3.0,0.75,1.5,L,L,L,W,W,W,M,M,M,M,4.0,3,6,-0.25,0.25,-0.75,-0.75,14,2,12,Saturday,September,9,1,0,0,D
1995-96,Bolton,Middlesbrough,1,5.0,4.0,8.0,3.0,0.6,1.0,L,D,W,L,L,W,L,D,M,M,5.0,3,5,-0.6,0.2,-0.4,-0.4,14,10,4,Saturday,September,9,1,0,0,D
1995-96,Coventry,Nott'm Forest,1,4.0,6.0,6.0,5.0,1.0,1.2,D,D,D,D,W,D,L,W,M,M,5.0,5,6,-0.4,0.2,-0.2,-0.2,9,7,2,Saturday,September,9,1,1,1,D
1995-96,Everton,Man United,2,4.0,8.0,2.0,6.0,1.4,1.8,W,W,W,W,L,W,D,L,M,M,5.0,7,9,0.4,0.4,-0.4,-0.4,5,3,2,Saturday,September,9,2,1,2,A
1995-96,QPR,Sheffield Weds,2,1.0,4.0,5.0,6.0,0.6,0.8,L,D,W,L,L,W,L,L,M,M,5.0,3,4,-0.8,-0.4,-0.2,-0.2,13,11,2,Saturday,September,9,2,0,3,A
1995-96,Southampton,Newcastle,0,5.0,9.0,7.0,1.0,0.8,2.4,W,W,D,W,L,W,L,W,M,M,5.0,4,12,-0.4,1.6,-1.6,-1.6,12,1,11,Saturday,September,9,0,1,0,H
1995-96,Tottenham,Leeds,0,3.0,6.0,6.0,2.0,0.4,2.0,D,D,L,W,L,W,D,W,M,M,5.0,2,10,-0.6,0.8,-1.6,-1.6,16,2,14,Saturday,September,9,0,1,1,D
1995-96,Wimbledon,Liverpool,0,9.0,5.0,7.0,2.0,1.4,1.8,D,W,L,W,W,L,W,W,M,M,5.0,7,9,0.4,0.6,-0.4,-0.4,6,4,2,Saturday,September,9,0,1,0,H
1995-96,Man City,Arsenal,2,2.0,4.0,6.0,2.0,0.2,1.2,L,D,L,D,L,W,D,D,M,M,5.0,1,6,-0.8,0.4,-1.0,-1.0,18,8,10,Sunday,September,10,2,0,1,A
1995-96,West Ham,Chelsea,2,4.0,2.0,6.0,4.0,0.4,0.6,D,D,D,L,L,D,L,D,M,M,5.0,2,3,-0.4,-0.4,-0.2,-0.2,17,15,2,Monday,September,11,2,1,2,A
1995-96,Middlesbrough,Southampton,1,4.0,5.0,3.0,7.0,1.0,0.8,D,W,L,D,W,L,D,L,M,M,5.0,5,4,0.2,-0.4,0.2,0.2,10,18,-8,Tuesday,September,12,0,2,0,H
1995-96,Arsenal,West Ham,0,5.0,5.0,2.0,9.0,1.5,0.3333333333333333,W,L,D,D,D,D,W,L,D,L,6.0,9,2,0.5,-0.6666666666666666,1.1666666666666667,1.1666666666666667,7,19,-12,Saturday,September,16,0,1,0,H
1995-96,Aston Villa,Wimbledon,0,6.0,10.0,4.0,7.0,1.6666666666666667,1.6666666666666667,D,W,W,D,L,L,W,W,W,W,6.0,10,10,0.3333333333333333,0.5,0.0,0.0,3,5,-2,Saturday,September,16,0,2,0,H
1995-96,Chelsea,Southampton,0,5.0,5.0,5.0,7.0,1.0,0.8333333333333334,W,D,D,W,L,D,D,L,D,L,6.0,6,5,0.0,-0.3333333333333333,0.16666666666666666,0.16666666666666666,12,14,-2,Saturday,September,16,0,2,0,H
1995-96,Leeds,QPR,2,7.0,1.0,4.0,8.0,1.6666666666666667,0.5,L,L,D,L,W,W,W,L,W,L,6.0,10,3,0.5,-1.1666666666666667,1.1666666666666667,1.1666666666666667,4,18,-14,Saturday,September,16,2,1,2,A
1995-96,Liverpool,Blackburn,0,5.0,5.0,3.0,7.0,1.5,0.6666666666666666,L,D,W,L,W,L,L,L,W,W,6.0,9,4,0.3333333333333333,-0.3333333333333333,0.8333333333333334,0.8333333333333334,6,17,-11,Saturday,September,16,0,3,0,H
1995-96,Man United,Bolton,0,11.0,6.0,8.0,9.0,2.0,0.6666666666666666,W,D,W,L,W,W,W,L,L,L,6.0,12,4,0.5,-0.5,1.3333333333333333,1.3333333333333333,1,16,-15,Saturday,September,16,0,2,0,H
1995-96,Middlesbrough,Coventry,0,4.0,5.0,3.0,7.0,1.0,1.0,D,D,D,D,L,D,W,W,D,L,6.0,6,6,0.16666666666666666,-0.3333333333333333,0.0,0.0,13,11,2,Saturday,September,16,0,2,0,H
1995-96,Newcastle,Man City,0,9.0,2.0,2.0,7.0,2.0,0.16666666666666666,L,L,W,L,W,L,W,L,W,D,6.0,12,1,1.1666666666666667,-0.8333333333333334,1.8333333333333333,1.8333333333333333,2,20,-18,Saturday,September,16,0,2,0,H
1995-96,Sheffield Weds,Tottenham,2,7.0,5.0,6.0,7.0,1.1666666666666667,0.8333333333333334,W,W,D,D,L,L,W,L,L,D,6.0,7,5,0.16666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333,10,15,-5,Saturday,September,16,2,0,3,A
1995-96,Nott'm Forest,Everton,0,7.0,6.0,6.0,5.0,1.1666666666666667,1.1666666666666667,D,L,D,W,D,W,D,L,W,D,6.0,7,7,0.16666666666666666,0.16666666666666666,0.0,0.0,9,8,1,Sunday,September,17,0,2,1,H
1995-96,Arsenal,Southampton,0,6.0,5.0,2.0,10.0,1.7142857142857142,0.7142857142857143,W,L,W,D,D,W,D,D,W,L,7.0,11,5,0.5714285714285714,-0.7142857142857143,1.0,0.8571428571428571,4,16,-12,Saturday,September,23,0,3,1,H
1995-96,Aston Villa,Nott'm Forest,1,8.0,10.0,4.0,8.0,1.8571428571428572,1.4285714285714286,W,W,D,D,W,D,L,D,W,D,7.0,10,7,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,3,8,-5,Saturday,September,23,1,1,0,H
1995-96,Blackburn,Coventry,0,5.0,6.0,10.0,9.0,0.5714285714285714,0.8571428571428571,L,L,D,D,L,D,L,D,L,W,7.0,1,6,-0.7142857142857143,-0.42857142857142855,-0.2857142857142857,-0.7142857142857143,18,15,3,Saturday,September,23,0,4,0,H
1995-96,Liverpool,Bolton,0,8.0,6.0,3.0,12.0,1.7142857142857142,0.5714285714285714,W,L,L,D,W,L,W,W,L,L,7.0,9,4,0.7142857142857143,-0.8571428571428571,1.1428571428571428,0.7142857142857143,5,17,-12,Saturday,September,23,0,4,1,H
1995-96,Man City,Middlesbrough,2,3.0,6.0,10.0,4.0,0.14285714285714285,1.2857142857142858,L,W,L,D,L,D,L,L,L,W,7.0,0,8,-1.0,0.2857142857142857,-1.1428571428571428,-1.1428571428571428,20,9,11,Saturday,September,23,2,0,1,A
1995-96,Sheffield Weds,Man United,1,8.0,14.0,9.0,8.0,1.0,2.142857142857143,L,W,W,W,D,W,L,W,W,W,7.0,7,15,-0.14285714285714285,0.8571428571428571,-1.1428571428571428,-1.1428571428571428,12,1,11,Saturday,September,23,1,0,0,D
1995-96,West Ham,Everton,0,5.0,8.0,10.0,8.0,0.2857142857142857,1.0,L,L,L,L,D,W,D,W,L,L,7.0,2,6,-0.7142857142857143,0.0,-0.7142857142857143,-0.5714285714285714,19,13,6,Saturday,September,23,0,1,0,H
1995-96,Wimbledon,Leeds,2,10.0,8.0,9.0,7.0,1.4285714285714286,1.4285714285714286,L,L,W,L,D,D,L,W,W,W,7.0,7,7,0.14285714285714285,0.14285714285714285,0.0,0.0,7,6,1,Saturday,September,23,2,1,3,A
1995-96,Newcastle,Chelsea,0,12.0,8.0,3.0,5.0,2.142857142857143,1.2857142857142858,W,W,L,W,W,D,W,L,W,D,7.0,12,8,1.2857142857142858,0.42857142857142855,0.8571428571428571,0.5714285714285714,2,10,-8,Sunday,September,24,0,1,0,H
1995-96,QPR,Tottenham,2,4.0,8.0,9.0,8.0,0.8571428571428571,1.1428571428571428,W,W,L,W,L,D,W,L,L,L,7.0,6,7,-0.7142857142857143,0.0,-0.2857142857142857,-0.14285714285714285,14,11,3,Monday,September,25,2,1,2,A
1995-96,Bolton,QPR,2,8.0,6.0,17.0,12.0,0.5,0.75,L,L,L,W,D,L,L,L,W,W,8.0,4,6,-1.125,-0.75,-0.25,-0.25,19,16,3,Saturday,September,30,2,0,1,A
1995-96,Chelsea,Arsenal,0,8.0,10.0,7.0,4.0,1.125,1.875,L,W,W,W,W,W,D,D,L,D,8.0,7,11,0.125,0.75,-0.75,-0.5,11,3,8,Saturday,September,30,0,0,0,D
1995-96,Coventry,Aston Villa,2,7.0,9.0,14.0,5.0,0.75,1.75,L,D,L,W,D,D,D,W,D,L,8.0,3,8,-0.875,0.5,-1.0,-0.625,15,5,10,Saturday,September,30,2,0,2,A
1995-96,Leeds,Sheffield Weds,0,12.0,8.0,9.0,9.0,1.625,1.0,W,D,L,L,L,W,D,D,W,L,8.0,7,5,0.375,-0.125,0.625,0.25,6,12,-6,Saturday,September,30,0,1,0,H
1995-96,Middlesbrough,Blackburn,0,7.0,10.0,4.0,11.0,1.5,0.875,W,W,W,L,D,D,D,L,L,L,8.0,8,4,0.375,-0.125,0.625,0.5,7,13,-6,Saturday,September,30,0,1,0,H
1995-96,Nott'm Forest,Man City,0,11.0,3.0,9.0,11.0,1.375,0.125,D,L,W,L,D,L,D,L,D,L,8.0,7,0,0.25,-1.0,1.25,0.875,9,20,-11,Saturday,September,30,0,3,0,H
1995-96,Tottenham,Wimbledon,0,11.0,12.0,10.0,13.0,1.375,1.25,W,L,W,L,W,W,D,D,L,L,8.0,10,4,0.125,-0.125,0.125,0.75,8,10,-2,Saturday,September,30,0,2,0,H
1995-96,Everton,Newcastle,2,9.0,14.0,10.0,3.0,0.875,2.25,L,W,L,W,L,L,W,W,W,W,8.0,6,12,-0.125,1.375,-1.375,-0.75,14,1,13,Sunday,October,1,2,1,2,A
1995-96,Man United,Liverpool,1,14.0,13.0,8.0,5.0,2.0,1.875,D,W,W,W,W,L,W,W,W,W,8.0,13,12,0.75,1.0,0.125,0.125,2,4,-2,Sunday,October,1,1,1,1,D
1995-96,Southampton,West Ham,1,7.0,7.0,14.0,11.0,0.625,0.625,L,W,L,L,D,L,W,D,D,D,8.0,5,5,-0.875,-0.5,0.0,0.0,17,18,-1,Monday,October,2,1,0,0,D
1995-96,Aston Villa,Chelsea,2,12.0,9.0,5.0,7.0,1.8888888888888888,1.3333333333333333,W,W,D,L,W,W,D,W,W,D,9.0,11,10,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.1111111111111111,3,10,-7,Saturday,October,14,2,0,1,A
1995-96,Blackburn,Southampton,0,10.0,7.0,13.0,14.0,0.7777777777777778,0.6666666666666666,L,D,W,L,L,L,D,D,L,W,9.0,4,5,-0.3333333333333333,-0.7777777777777778,0.1111111111111111,-0.1111111111111111,14,17,-3,Saturday,October,14,0,2,0,H
1995-96,Bolton,Everton,1,8.0,10.0,18.0,13.0,0.4444444444444444,0.7777777777777778,L,L,L,L,L,L,D,L,L,W,9.0,1,3,-1.1111111111111112,-0.3333333333333333,-0.3333333333333333,-0.2222222222222222,19,15,4,Saturday,October,14,1,0,0,D
